,id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4,544105,2674950,,19.44289207458496,-99.20138549804688,1007.0,2,67,0.74,1,173,9,
6,571166,196253,,19.41346,-99.1775,3328.0,1,1,0.01,8,165,0,
7,583039,2872228,,19.43374,-99.14616,1290.0,2,118,0.8,15,251,24,
13,642725,3213044,,19.40809,-99.18109,,2,0,,1,0,0,
19,704779,2872228,,19.43103,-99.14661,865.0,2,27,0.2,15,116,8,
21,737328,3850198,,19.43059,-99.17073,,2,25,0.17,11,365,1,
22,741557,3850198,,19.43059,-99.17073,1415.0,2,7,0.05,11,241,0,
23,760912,3817743,,19.40891,-99.16083,809.0,1,5,0.03,1,364,0,
27,817291,4017148,,19.38468,-99.17708,1072.0,2,85,0.58,1,26,8,
32,828714,4344353,,19.34183,-99.15533,910.0,2,28,0.28,1,265,1,
35,865012,3850198,,19.43078,-99.17011,,2,31,0.22,11,364,0,
36,868843,3850198,,19.43068,-99.17007,1213.0,2,56,0.44,11,341,3,
37,868986,3850198,,19.4306,-99.17074,1213.0,2,25,0.17,11,346,2,
38,869063,3850198,,19.43052,-99.17003,,2,38,0.35,11,363,5,
40,898633,4796027,,19.42063,-99.16586,1824.0,3,56,0.39,3,333,1,
43,1001517,5507751,,19.3461,-99.15911,1949.0,2,82,0.59,3,262,7,
45,1013504,1664327,,19.34034,-99.18345,410.0,2,73,0.54,2,321,18,
46,1051636,22366411,,19.40592,-99.1691,991.0,2,30,0.21,1,365,0,
51,1170780,6409883,,19.39129,-99.1888,425.0,3,17,0.13,2,0,0,
57,1309198,7116734,,19.34356,-99.1286,,2,2,0.03,3,297,1,
58,1363110,6409883,,19.39165,-99.18885,425.0,3,26,0.19,2,0,0,
60,1403168,7569372,,19.40288,-99.17884,602.0,2,2,0.03,1,365,0,
68,1547284,5341352,,19.37845,-99.17221,1100.0,1,72,0.53,2,316,13,
70,1565220,2518152,,19.34735,-99.19016,2800.0,1,28,0.21,7,365,1,
72,1635595,8686853,,19.43149,-99.165543,1375.0,1,72,1.96,3,360,9,
73,1656382,796221,,19.41095,-99.18215,,1,0,,1,0,0,
75,1727725,2518152,,19.34923,-99.19307,2200.0,1,36,0.27,7,365,1,
76,1736063,2518152,,19.34723,-99.19396,,1,63,0.48,7,362,10,
87,1925256,2518152,,19.34943,-99.19427,2000.0,1,52,0.4,7,365,7,
89,3490114,17575648,,19.40924,-99.16619,,1,0,,1,0,0,
91,3536304,18260491,,19.35058,-99.19749,838.0,1,15,0.17,3,365,1,
95,3624106,18259367,,19.41239,-99.18398,850.0,1,29,0.24,4,365,3,
98,3685560,18744018,,19.44358,-99.21206,3161.0,2,0,,1,173,0,
101,67703,334451,,19.41152,-99.16857,2123.0,2,50,0.31,2,343,4,
102,70644,212109,,19.35448,-99.16217,1236.0,3,131,0.84,3,285,8,
103,131610,647454,,19.35416,-99.16488,,1,0,,3,0,0,
106,180808,36836,,19.4239,-99.1689,1777.0,3,54,0.35,1,359,5,
109,194937,899360,,19.41057,-99.1773,,1,77,0.48,6,0,4,
111,204887,998053,,19.4059,-99.17548,780.0,3,30,0.2,1,335,1,
114,247543,1297488,,19.43516,-99.13806,809.0,3,146,0.92,2,329,28,
119,281134,196253,,19.41108,-99.17634,,1,7,0.06,8,309,0,
121,291804,1511568,,19.36305,-99.15412,,2,0,,1,0,0,
122,298873,1539548,,19.43358,-99.14452,,3,119,0.77,1,0,0,
128,331030,1688597,,19.34549,-99.15872,1300.0,2,0,,2,363,0,
130,362583,1832239,,19.43165,-99.17132,1618.0,3,46,0.32,1,299,7,
133,395446,899360,,19.41068,-99.17732,,2,34,0.23,6,0,6,
134,409709,1595855,,19.42575,-99.16236,1517.0,3,5,0.03,2,365,0,
135,419110,2084312,,19.41017,-99.17886,667.0,3,49,0.52,1,88,0,
138,458808,2281290,,19.42675,-99.1613,988.0,1,139,1.25,24,270,41,
139,486913,2409917,,19.43898,-99.16142,1040.0,1,35,0.23,3,0,0,
144,2003918,10317668,,19.39877375952444,-99.17890175126874,1500.0,1,4,0.43,1,349,4,
145,2030859,790208,,19.40692,-99.18831,924.0,2,50,0.38,7,285,0,
148,2056622,10531228,,19.35585,-99.16315,,2,15,0.15,3,0,2,
150,2072354,16840050,,19.35358,-99.16948,800.0,3,63,0.47,2,351,2,
151,2075738,2339771,,19.41909,-99.16043,2990.0,3,108,0.81,1,298,18,
154,2094427,3675629,,19.43573,-99.18955,1500.0,3,87,0.69,5,308,1,
155,2112138,16840050,,19.35284,-99.1695,850.0,3,37,0.28,2,351,0,
156,2117709,4079778,,19.34219,-99.15952,748.0,3,9,0.07,2,356,0,
159,2178349,906106,,19.42914772033691,-99.15665435791016,950.0,2,35,0.26,1,311,8,
162,2267075,11576147,,19.43356817253434,-99.15863118836056,500.0,1,6,0.6,2,219,6,
165,2302615,11759686,,19.42911,-99.16582,2528.0,3,1,0.01,1,358,0,
168,2345760,11979276,,19.39969,-99.17173,,3,5,0.19,1,76,3,
171,2406485,9931809,,19.40103,-99.17618,450.0,2,44,0.34,1,361,0,
172,2419999,2872228,,19.43432,-99.14581,864.0,2,25,0.19,15,128,4,
173,2424204,12389380,,19.43794,-99.13644,2002.0,3,24,0.18,6,338,0,
178,2519535,5870021,,19.35418,-99.16338,1200.0,2,67,0.51,5,335,1,
183,2547576,12774111,,19.34706,-99.16568,,3,69,0.53,1,361,2,
184,2558376,50929609,,19.41875599395923,-99.16854557754895,2832.0,2,19,3.22,8,48,19,
185,2643099,13530256,,19.33753,-99.15454,,2,47,0.37,1,357,5,
188,2715327,13894824,,19.43341,-99.15124,1686.0,3,41,0.32,4,331,5,
198,3843070,19806027,,19.3439,-99.16784,910.0,3,25,0.2,1,340,0,
200,3848018,2653797,,19.41397,-99.17491,405.0,3,23,0.21,4,243,6,
