,Unnamed: 0,id,scrape_id,host_id,host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,2,3902889.0,20200000000000.0,4656501,9,41.1463,-8.59903,4,1.0,2.0,2.0,1,365,23,53,83,357,36,13,0,4.78,4.81,4.72,4.72,4.69,4.64,4.58,4,4,0,0,0.29
4,4,7918261.0,20200000000000.0,40592098,24,41.14703,-8.59804,2,1.0,0.0,2.0,2,186,22,52,82,357,11,0,0,4.55,5.0,4.82,4.91,4.45,4.27,4.55,24,23,1,0,0.1
5,5,8747853.0,20200000000000.0,18112547,1,41.15178,-8.60277,2,,1.0,,3,1124,0,0,0,0,194,31,0,4.52,4.66,4.69,4.76,4.77,4.51,4.46,1,1,0,0,1.75
6,6,15391175.0,20200000000000.0,26404869,2,41.16628,-8.61208,5,,3.0,,3,1125,0,0,0,0,25,0,0,4.8,4.88,4.92,4.92,5.0,4.5,4.75,1,1,0,0,0.25
12,12,23017582.0,20200000000000.0,429054820,3,41.14769,-8.600418,2,1.0,1.0,1.0,3,330,24,54,70,200,50,7,0,4.94,4.94,4.96,4.98,4.98,4.92,4.9,3,3,0,0,0.61
13,13,23023720.0,20200000000000.0,429054820,3,41.14769,-8.60042,3,1.0,1.0,1.0,3,330,15,32,32,168,31,4,0,4.97,4.97,5.0,4.94,5.0,4.9,4.84,3,3,0,0,0.4
17,17,25835772.0,20200000000000.0,194120215,2,41.1502533,-8.595067978,3,1.0,1.0,1.0,2,31,21,51,81,328,7,0,0,4.57,4.86,5.0,5.0,5.0,4.43,4.86,2,2,0,0,0.09
26,26,34074060.0,20200000000000.0,120835470,3,41.16128,-8.64368,2,1.0,1.0,1.0,2,1125,25,55,85,360,59,14,0,4.83,4.9,4.83,4.93,4.95,4.8,4.8,3,3,0,0,0.86
28,28,35485052.0,20200000000000.0,16211101,11,41.14512,-8.59327,2,1.5,1.0,1.0,1,1125,0,0,0,0,0,0,0,,,,,,,,11,11,0,0,
29,29,35485242.0,20200000000000.0,16211101,11,41.14512,-8.59367,2,1.0,1.0,1.0,1,1125,0,0,0,0,0,0,0,,,,,,,,11,11,0,0,
30,30,35485404.0,20200000000000.0,16211101,11,41.14543,-8.59357,2,1.5,1.0,1.0,1,1125,0,0,0,0,0,0,0,,,,,,,,11,11,0,0,
56,56,191005.0,20200000000000.0,923371,5,41.15328,-8.60758,4,2.0,2.0,3.0,3,180,0,2,2,239,157,18,0,4.72,4.79,4.76,4.93,4.85,4.7,4.63,2,2,0,0,1.04
59,59,241743.0,20200000000000.0,1266562,17,41.14661,-8.60188,3,1.0,1.0,2.0,2,14,17,44,71,327,162,2,0,4.56,4.62,4.75,4.8,4.73,4.66,4.61,17,17,0,0,1.03
62,62,265819.0,20200000000000.0,506925,4,41.16201,-8.63315,4,1.0,1.0,1.0,2,365,22,52,82,357,116,12,0,4.67,4.8,4.74,4.81,4.81,4.51,4.61,1,1,0,0,0.75
64,64,270094.0,20200000000000.0,1377045,1,41.1608,-8.63532,2,1.0,1.0,1.0,3,31,0,27,57,114,81,11,0,4.84,4.85,4.83,4.97,4.95,4.8,4.77,1,1,0,0,0.53
65,65,270965.0,20200000000000.0,1418251,1,41.15641,-8.60973,2,1.0,1.0,1.0,3,28,30,60,90,365,171,12,0,4.35,4.65,4.58,4.74,4.81,4.26,4.43,1,1,0,0,1.12
68,68,313017.0,20200000000000.0,1609420,1,41.14172,-8.61175,4,,2.0,,1,1825,0,0,0,0,51,0,0,4.64,4.67,4.81,4.6,4.75,4.71,4.54,1,1,0,0,0.33
76,76,403114.0,20200000000000.0,2010935,13,41.14073,-8.6147,4,1.0,1.0,2.0,2,270,18,48,75,255,202,29,2,4.89,4.87,4.85,4.88,4.94,4.97,4.81,13,13,0,0,1.33
108,108,598806.0,20200000000000.0,2962322,1,41.14727,-8.59793,2,1.0,1.0,1.0,3,10,29,59,89,89,59,0,0,4.68,4.8,4.61,4.76,4.75,4.69,4.61,1,1,0,0,0.39
120,120,628606.0,20200000000000.0,3122657,1,41.15538,-8.60717,2,,1.0,,2,1125,0,0,0,0,125,0,0,4.44,4.68,4.49,4.79,4.78,4.63,4.64,1,1,0,0,0.83
125,125,681306.0,20200000000000.0,3469454,6,41.14259,-8.61713,4,2.0,1.0,2.0,1,31,10,24,54,324,198,5,0,4.69,4.8,4.92,4.92,4.88,4.86,4.76,6,6,0,0,1.33
129,129,695656.0,20200000000000.0,2010935,13,41.13965,-8.61644,4,1.0,1.0,2.0,2,270,24,54,84,264,27,3,0,4.89,4.93,4.93,4.96,4.96,4.96,4.85,13,13,0,0,0.19
131,131,703873.0,20200000000000.0,3614742,1,41.13038,-8.60236,2,1.5,1.0,1.0,2,1125,19,49,77,347,189,16,0,4.85,4.91,4.9,4.94,4.87,4.67,4.85,1,0,1,0,1.66
132,132,708484.0,20200000000000.0,1736427,1,41.17632,-8.62883,1,1.0,1.0,1.0,2,15,0,0,0,0,135,0,0,4.85,4.89,4.98,4.94,4.97,4.57,4.84,1,0,1,0,1.19
133,133,713596.0,20200000000000.0,2821843,1,41.16838,-8.60986,5,,1.0,,3,1125,0,0,0,0,189,0,0,4.52,4.7,4.56,4.74,4.78,4.22,4.56,1,1,0,0,1.29
134,134,735736.0,20200000000000.0,3838433,10,41.15583,-8.62387,6,1.0,2.0,5.0,2,1125,23,53,83,358,91,10,0,4.62,4.7,4.69,4.71,4.84,4.65,4.49,7,7,0,0,0.69
144,144,769605.0,20200000000000.0,3163699,2,41.14323,-8.60675,2,1.0,1.0,1.0,3,1125,29,59,89,265,73,10,0,4.64,4.71,4.53,4.92,4.97,4.92,4.6,2,1,1,0,0.56
